Newreno CWND flow 1,Newreno CWND flow 2,Tahoe CWND flow 1,Tahoe CWND flow 2,Vegas CWND flow 1,Vegas CWND flow 2
5.8225940000000005,6.367607,3.5268900000000003,3.3829220000000007,4.25,2.625
4.62192,5.153264,5.303508,4.945169999999999,4.25,2.625
3.7393069999999993,4.739937,5.083050999999999,2.8879360000000003,4.25,2.625
4.898779,5.8085439999999995,4.410480000000001,4.542410000000001,4.25,2.625
5.775698,6.844547,2.7302310000000003,5.858911,4.25,2.625
4.962067,5.006518999999999,4.193334999999999,4.922140000000001,4.25,2.625
3.669697,4.49626,5.561361,6.071745999999999,4.25,2.625
4.774801,5.671085,3.090352,2.679052,4.25,2.625
5.966849999999999,6.529101,4.633885000000001,4.761820999999999,4.25,2.625
4.62192,5.423304,3.4650030000000003,6.067283999999999,4.25,2.625
3.764521,4.903631,4.751364000000001,4.832573999999999,4.25,2.625
4.718862,5.482687,5.761997999999999,4.963619000000001,4.25,2.625
5.8225940000000005,6.284789,3.408136,4.155712,4.25,2.625
4.62192,5.084762,2.6054500000000003,5.8884609999999995,4.25,2.625
3.7393069999999993,4.680192,3.42689,5.974593999999999,4.25,2.625
4.898779,5.754874,4.717388,7.180833999999999,4.25,2.625
5.675698,6.795407,4.314411000000001,1.649836,4.25,2.625
4.52192,5.651225999999999,2.166666,4.063357999999999,4.25,2.625
3.569697,4.4082,3.696843,5.762891000000001,4.25,2.625
4.852846,5.599727,4.718697999999999,6.909712000000001,4.25,2.625
5.942744,6.467498000000001,5.564221999999999,7.817746,4.25,2.625
4.52192,5.368303999999999,2.971468,1.0,4.25,2.625
3.688227,4.8962069999999995,2.986665,3.776213,4.25,2.625
4.694418,6.111749,4.362666,5.4169599999999996,4.25,2.625
5.8668499999999995,6.239323000000001,5.1669920000000005,6.695751,4.25,2.625
4.52192,5.01014,6.083135999999999,3.6978549999999997,4.25,2.625
3.754305,4.616537,1.2,2.9341999999999997,4.25,2.625
4.880522999999999,5.748323999999999,3.5155370000000006,5.150581,4.25,2.625
5.738778,6.744167,4.519095999999999,5.373274,4.25,2.625
4.52192,5.611725999999999,5.626234000000001,6.493305999999999,4.25,2.625
3.569697,4.469507,5.083550999999999,1.649836,4.25,2.625
4.852846,5.521338999999999,4.516014,3.8300229999999997,4.25,2.625
5.942744,6.420452,5.810751000000001,5.173836000000001,4.25,2.625
4.52192,5.325671999999999,3.7829220000000006,6.061136,4.25,2.625
3.688227,4.886533,5.4534259999999986,5.4505419999999996,4.25,2.625
4.694418,6.103144,3.144764,2.221204,4.25,2.625
5.8668499999999995,6.239323000000001,4.783025,4.2771680000000005,4.25,2.625
4.52192,4.974653999999999,5.794094000000001,5.708475999999999,4.25,2.625
